product_id,active,name,category,price,on_sale,discount_amount,discount_percent,manufacturer,scale,height,hero,theme,series,material,packaging,accessories,range_of_motion,type,code,description,image_urls,dimensions
1,1,Brelok gumowy Star Wars - Millennium Falcon,7,14.90,0,,,"Pyramid International
",,,Sokół Millenium,Star Wars,,"Guma
","Worek foliowy
",,,Brelok do kluczy,RK38348,"Brelok do kluczy Millennium Falcon wykonany na pełnej licencji marki Star Wars. Zrobiony został z wysokiej jakości gumy sylikonowej i mierzy około 4,5 cm. Jest elastyczny i odporny na codzienne użytkowanie. Bardzo ozdobny i praktyczny z wygodnym metalowym kółeczkiem umożliwiającym dopięcie go do torebki czy kluczy.","rk38348c-1-jpg.jpg,rk38348c-3-jpg.jpg,","4,5 x 6 cm"
2,1,Brelok gumowy Star Wars - R2-D2,7,14.90,0,,,"Pyramid International
",,,R2-D2,Star Wars,,"Guma
","Worek foliowy
",,,Brelok do kluczy,RK38344,"Brelok do kluczy R2-D2 wykonany na pełnej licencji marki Star Wars. Zrobiony został z wysokiej jakości gumy sylikonowej i mierzy około 4,5 cm. Jest elastyczny i odporny na codzienne użytkowanie. Bardzo ozdobny i praktyczny z wygodnym metalowym kółeczkiem umożliwiającym dopięcie go do torebki czy kluczy.","xrk38344.jpg,","4,5 x 6 cm"
3,1,Brelok gumowy Harry Potter - Hagrid Chibi,7,14.90,0,,,"Pyramid International
",,,Rubeus Hagrid,Harry Potter / Fantastyczne Zwierzęta,,"Guma
","Bez opakowania
",,,Brelok do kluczy,5050293387413,"Uroczy breloczek do kluczy wykonany na pełnej licencji marki Harry Potter. Zrobiony został z gumy i mierzy około 4,5 cm. Przedstawia postać Hagrida w wersji Chibi.","RS461267.png,","4,5 cm"
4,1,Brelok Disney: Kaczor Donald 90th Anniversary POP! - Kaczor Donald 1938,7,35.90,0,,,"Funko
",,"4
 cm",Kaczor Donald,Animacje,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698757263,"Brelok do kluczy w postaci uroczej mini figurki POP! Kaczor Donald 1938. Wzorowany jest na postaci z wielu animacji wytwórni Disney i wykonany został przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","FIGFUN75726_1.png,",
5,1,Brelok Marvel Comics POP! - Deadpool,7,33.50,0,,,"Funko
",,,Deadpool,Marvel,POP! Marvel,,"Pudełko z okienkiem
",,,Brelok do kluczy,FK4984,"Brelok do kluczy w postaci uroczej mini figurki POP! Deadpool. Wzorowany na komiksach Marvel i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, oraz grafiką nawiązującą do filmowej produkcji.","xfk4984.jpg,",
6,1,Brelok gumowy Disney - Goofy,7,13.90,0,,,"Pyramid International
",,,Goofy,Disney,,"Guma
","Bez opakowania
",,,Brelok do kluczy,RK38323,,"xrk38323.jpg,","4,5 x 6 cm"
7,1,Brelok Bleach POP! - Kon,7,35.90,0,,,"Funko
",,"4
 cm",,Anime / Manga,POP! Pocket Keychain,"Vinyl
","Pudełko z okienkiem
","Brak
","Statyczna (brak punktów ruchu)
",Brelok do kluczy,889698755146,"Brelok do kluczy w postaci uroczej mini figurki POP! Kon. Wzorowany na postaci z niezwykle popularnego anime Bleach i wykonany przez producenta Funko.
Figurka mierzy około 4 cm wysokości i posiada ze sobą łańcuszek. Całość została zapakowana w estetyczne pudełko z okienkiem, ozdobione grafiką nawiązującą do produkcji.","1_j4ta-ip.jpg,",
8,1,Brelok gumowy Star Wars - Chewbacca,7,12.90,0,,,"Pyramid International
",,,Chewbacca,Star Wars,,"Guma
","Worek foliowy
",,,Brelok do kluczy,RK38346,"Brelok do kluczy Chewbacca wykonany na pełnej licencji marki Star Wars. Zrobiony został z wysokiej jakości gumy sylikonowej i mierzy około 4,5 cm. Jest elastyczny i odporny na codzienne użytkowanie. Bardzo ozdobny i praktyczny z wygodnym metalowym kółeczkiem umożliwiającym dopięcie go do torebki czy kluczy.","xrk38346.jpg,brelok-do-kluczy-gumowy-star-wars-chewbacca.jpg,","4,5 x 6 cm"
9,1,Brelok gumowy Marvel Comics - Deadpool Symbol,7,12.90,0,,,"Pyramid International
",,,Deadpool,Marvel,,"Guma
","Bez opakowania
",,,Brelok do kluczy,5050293385556,Brelok gumowy wykonany na licencji marki.,"rk38555c-1-jpg.jpg,rk38555c-3-jpg.jpg,","4,5 x 6 cm"
10,1,Brelok gumowy Godzilla,7,12.90,0,,,"Pyramid International
",,,Godzilla,Godzilla,,"Guma
","Worek foliowy
",,,Brelok do kluczy,5050293394060,"Gumowy brelok Godzilla
Idealny dla dzieciaków, młodzieży i dorosłych.
Bardzo modny, świetnie nadający się do Twoich kluczy.
Kompletny brelok składa się z metalowego oczka oraz gumowej zawieszki.
Brelok to idealny upominek w konkursach i zabawach.
Super gadżet z twoim ulubionym motywem.
Jest oryginalny, to oficjalny i licencjonowany gadżet","1_w1l3-cy.jpg,",4.5 x 6 cm
